"Entrez Gene ID","Gene symbol","Gene description","Number of enriched GO terms"
77799,"Sla2","Src-like-adaptor 2 [Source:MGI Symbol;Acc:MGI:1925049]",3
236920,"Stard8","StAR related lipid transfer domain containing 8 [Source:MGI Symbol;Acc:MGI:2448556]",2
15405,"Hoxa9","homeobox A9 [Source:MGI Symbol;Acc:MGI:96180]",5
77583,"Notum","notum palmitoleoyl-protein carboxylesterase [Source:MGI Symbol;Acc:MGI:1924833]",4
241201,"Cdh7","cadherin 7, type 2 [Source:MGI Symbol;Acc:MGI:2442792]",3
245827,"Fat2","FAT atypical cadherin 2 [Source:MGI Symbol;Acc:MGI:2685369]",3
73284,"Ddit4l","DNA-damage-inducible transcript 4-like [Source:MGI Symbol;Acc:MGI:1920534]",2
14776,"Gpx2","glutathione peroxidase 2 [Source:MGI Symbol;Acc:MGI:106609]",1
381229,"Cfap58","cilia and flagella associated protein 58 [Source:MGI Symbol;Acc:MGI:2685815]",1
70426,"Tekt5","tektin 5 [Source:MGI Symbol;Acc:MGI:1917676]",1
75429,"Cfap144","cilia and flagella associated protein 144 [Source:MGI Symbol;Acc:MGI:1922679]",1
17533,"Mrc1","mannose receptor, C type 1 [Source:MGI Symbol;Acc:MGI:97142]",2
407790,"Ndufa4l2","Ndufa4, mitochondrial complex associated like 2 [Source:MGI Symbol;Acc:MGI:3039567]",1
11744,"Anxa11","annexin A11 [Source:MGI Symbol;Acc:MGI:108481]",2
12823,"Col19a1","collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]",2
12810,"Coch","cochlin [Source:MGI Symbol;Acc:MGI:1278313]",1
71355,"Col24a1","collagen, type XXIV, alpha 1 [Source:MGI Symbol;Acc:MGI:1918605]",1
140703,"Emid1","EMI domain containing 1 [Source:MGI Symbol;Acc:MGI:2155091]",1
73368,"Col20a1","collagen, type XX, alpha 1 [Source:MGI Symbol;Acc:MGI:1920618]",1
16426,"Itih3","inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]",1
15413,"Hoxb5","homeobox B5 [Source:MGI Symbol;Acc:MGI:96186]",2
17345,"Mki67","antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]",1
17285,"Meox1","mesenchyme homeobox 1 [Source:MGI Symbol;Acc:MGI:103220]",1
13008,"Csrp2","cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907]",1
19153,"Prx","periaxin [Source:MGI Symbol;Acc:MGI:108176]",1
66898,"Baiap2l1","BAI1-associated protein 2-like 1 [Source:MGI Symbol;Acc:MGI:1914148]",1
12971,"Crym","crystallin, mu [Source:MGI Symbol;Acc:MGI:102675]",0
70337,"Iyd","iodotyrosine deiodinase [Source:MGI Symbol;Acc:MGI:1917587]",0
195646,"Hs3st2","heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1333802]",0
13593,"Ebf3","early B cell factor 3 [Source:MGI Symbol;Acc:MGI:894289]",0
20476,"Six6","sine oculis-related homeobox 6 [Source:MGI Symbol;Acc:MGI:1341840]",0
20230,"Satb1","special AT-rich sequence binding protein 1 [Source:MGI Symbol;Acc:MGI:105084]",0
80892,"Zfhx4","zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668]",0
70571,"Tcerg1l","transcription elongation regulator 1-like [Source:MGI Symbol;Acc:MGI:1917821]",0
436062,"Cibar2","CBY1 interacting BAR domain containing 2 [Source:MGI Symbol;Acc:MGI:3588213]",0
268482,"Krt12","keratin 12 [Source:MGI Symbol;Acc:MGI:96687]",0
16675,"Krt27","keratin 27 [Source:MGI Symbol;Acc:MGI:1339999]",0
16665,"Krt15","keratin 15 [Source:MGI Symbol;Acc:MGI:96689]",0
68895,"Rasl11a","RAS-like, family 11, member A [Source:MGI Symbol;Acc:MGI:1916145]",0
331374,"Dgkk","diacylglycerol kinase kappa [Source:MGI Symbol;Acc:MGI:3580254]",0
22178,"Tyrp1","tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]",0
76487,"Ppp1r3g","protein phosphatase 1, regulatory subunit 3G [Source:MGI Symbol;Acc:MGI:1923737]",0
53602,"Hpcal1","hippocalcin-like 1 [Source:MGI Symbol;Acc:MGI:1855689]",0
216961,"Coro6","coronin 6 [Source:MGI Symbol;Acc:MGI:2183448]",0
208213,"Tmem132c","transmembrane protein 132C [Source:MGI Symbol;Acc:MGI:2443061]",0
68612,"Ube2c","ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]",0
14120,"Fbp2","fructose bisphosphatase 2 [Source:MGI Symbol;Acc:MGI:95491]",0
433022,"Plcxd2","phosphatidylinositol-specific phospholipase C, X domain containing 2 [Source:MGI Symbol;Acc:MGI:3647874]",0
21743,"Inmt","indolethylamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:102963]",0
77629,"Sphkap","SPHK1 interactor, AKAP domain containing [Source:MGI Symbol;Acc:MGI:1924879]",0
628779,"Hs3st4","heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:MGI Symbol;Acc:MGI:1333792]",0
64580,"Ndst4","N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4 [Source:MGI Symbol;Acc:MGI:1932545]",0
280645,"B3gat2","beta-1,3-glucuronyltransferase 2 [Source:MGI Symbol;Acc:MGI:2389490]",0
244745,"Dpy19l1","dpy-19 like C-mannosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1915685]",0
236285,"Lancl3","LanC lantibiotic synthetase component C-like 3 (bacterial) [Source:MGI Symbol;Acc:MGI:2443335]",0
271970,"Arsj","arylsulfatase J [Source:MGI Symbol;Acc:MGI:2443513]",0
319776,"Tmem72","transmembrane protein 72 [Source:MGI Symbol;Acc:MGI:2442707]",0
78709,"Spink8","serine peptidase inhibitor, Kazal type 8 [Source:MGI Symbol;Acc:MGI:1925959]",0
68310,"Zmym1","zinc finger, MYM domain containing 1 [Source:MGI Symbol;Acc:MGI:1915560]",0
64293,"Stk32b","serine/threonine kinase 32B [Source:MGI Symbol;Acc:MGI:1927552]",0
12319,"Car8","carbonic anhydrase 8 [Source:MGI Symbol;Acc:MGI:88253]",0
75668,"Rasl10a","RAS-like, family 10, member A [Source:MGI Symbol;Acc:MGI:1922918]",0
100042450,"Smim17","small integral membrane protein 17 [Source:MGI Symbol;Acc:MGI:4365374]",0
224419,"Map3k7cl","Map3k7 C-terminal like [Source:MGI Symbol;Acc:MGI:2446584]",0
272465,"Tmem255b","transmembrane protein 255B [Source:MGI Symbol;Acc:MGI:2685533]",0
434197,"Fam169b","family with sequence similarity 169, member B [Source:MGI Symbol;Acc:MGI:3644026]",0
545279,"Ms4a15","membrane-spanning 4-domains, subfamily A, member 15 [Source:MGI Symbol;Acc:MGI:3617853]",0
545798,"Tmem233","transmembrane protein 233 [Source:MGI Symbol;Acc:MGI:3651514]",0
66561,"Teddm3","transmembrane epididymal family member 3 [Source:MGI Symbol;Acc:MGI:1913811]",0
73569,"Vgll3","vestigial like family member 3 [Source:MGI Symbol;Acc:MGI:1920819]",0
74175,"Crct1","cysteine-rich C-terminal 1 [Source:MGI Symbol;Acc:MGI:1921425]",0
