"Gene Set ID","Gene Set Name","# Genes in Gene Set (K)","Description","# Genes in Overlap (k)","k/K","p-value","FDR q-value"
13,"GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION",1811,"Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]",65,0.0359,6.48e-28,5.35e-25
14,"GOCC_DENDRITIC_TREE",867,"The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches. [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]",45,0.0519,9.76e-26,7.44e-23
15,"GOBP_GENERATION_OF_NEURONS",1796,"The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons. [GOC:nln]",62,0.0345,1.04e-25,7.44e-23
16,"GOCC_PRESYNAPSE",931,"The part of a synapse that is part of the presynaptic cell. [GOC:dos]",46,0.0494,2.1e-25,1.41e-22
17,"GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY",117,"A G protein-coupled receptor signaling pathway initiated by a neuropeptide binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process. [GOC:mah, ISBN:0815316194]",22,0.188,2.96e-25,1.87e-22
18,"GOBP_REGULATION_OF_SYSTEM_PROCESS",674,"Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]",40,0.0593,4.35e-25,2.6e-22
19,"GOBP_MONOATOMIC_ION_TRANSPORT",1329,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom. [GOC:ai]",53,0.0399,7.8e-25,4.41e-22
20,"GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",1561,"Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]",57,0.0365,8.2e-25,4.41e-22
21,"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",300,"A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP). [GOC:mah, GOC:signaling, ISBN:0815316194]",29,0.0967,2.51e-24,1.28e-21
22,"GOBP_COGNITION",414,"The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory. [ISBN:0721619908]",32,0.0773,1.03e-23,5.05e-21
23,"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",1294,"Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs. [GOC:ai]",51,0.0394,1.12e-23,5.22e-21
24,"GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT",1094,"The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord. [GOC:bf, GOC:jid, ISBN:0582227089]",47,0.043,2.15e-23,9.62e-21
25,"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",1322,"The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis. [GOC:mah, UBERON:0001009]",50,0.0378,1.91e-22,8.22e-20
26,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",545,"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",34,0.0624,3.89e-22,1.61e-19
27,"GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY",688,"Binds to and modulates the activity of a receptor. [GOC:ceb]",37,0.0538,8.33e-22,3.31e-19
28,"GOBP_CELL_MIGRATION",1689,"The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",55,0.0326,1.26e-21,4.85e-19
29,"GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS",1695,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism. [GOC:sm]",55,0.0324,1.49e-21,5.52e-19
30,"GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT",1054,"A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom. [GOC:mah]",44,0.0417,1.88e-21,6.73e-19
31,"GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION",1770,"Any process that activates or increases the frequency, rate or extent of signal transduction. [GOC:sm]",56,0.0316,1.98e-21,6.85e-19
32,"GOCC_SYNAPTIC_MEMBRANE",599,"A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell. [GOC:BHF, PMID:20410104]",34,0.0568,7.66e-21,2.57e-18
33,"GOCC_NEURON_PROJECTION_TERMINUS",240,"The specialized, terminal region of a neuron projection such as an axon or a dendrite. [GOC:jl]",24,0.1,1.12e-20,3.64e-18
34,"GOBP_CELL_MOTILITY",1992,"Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another. [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",58,0.0291,1.8e-20,5.7e-18
35,"GOBP_REGULATION_OF_CELL_DIFFERENTIATION",1794,"Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]",55,0.0307,1.99e-20,6.1e-18
36,"GOBP_SECRETION",1196,"The controlled release of a substance by a cell or a tissue. [GOC:ai]",45,0.0376,3.67e-20,1.09e-17
