
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
14654	Glra1	glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR		GOCC_AXON			GOCC_CELL_BODY				GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT				GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS				GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT												GOCC_POSTSYNAPTIC_MEMBRANE					GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON										GOCC_CELL_SURFACE						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE								GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION		GOBP_MUSCLE_CONTRACTION	GOCC_PRESYNAPTIC_MEMBRANE					GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
21336	Tacr1	tachykinin receptor 1 [Source:MGI Symbol;Acc:MGI:98475]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR			GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE				GOBP_REGULATION_OF_SYSTEM_PROCESS			GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_COGNITION				GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS			GOCC_SYNAPTIC_MEMBRANE		GOBP_CELL_MOTILITY		GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION			GOBP_EXPORT_FROM_CELL			GOBP_CIRCULATORY_SYSTEM_PROCESS				GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR	GOMF_PEPTIDE_RECEPTOR_ACTIVITY	GOCC_POSTSYNAPTIC_MEMBRANE					GOBP_MUSCLE_SYSTEM_PROCESS					GOBP_LOCOMOTION	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_SIGNAL_RELEASE			GOBP_REGULATION_OF_BLOOD_PRESSURE	GOCC_CELL_SURFACE					GOBP_POSITIVE_REGULATION_OF_TRANSPORT			GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_TUBE_SIZE		GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE			GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS			GOBP_RESPONSE_TO_ABIOTIC_STIMULUS			GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION		GOBP_EPITHELIAL_CELL_PROLIFERATION					GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
15560	Htr2c	5-hydroxytryptamine (serotonin) receptor 2C [Source:MGI Symbol;Acc:MGI:96281]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR			GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE				GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION								GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION				GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL			GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION		GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR				GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT				GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOCC_CELL_SURFACE					GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_AMINO_ACID_TRANSPORT		GOBP_REGULATION_OF_TUBE_SIZE							GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND				GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM								GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
51791	Rgs14	regulator of G-protein signaling 14 [Source:MGI Symbol;Acc:MGI:1859709]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR			GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOCC_DENDRITIC_TREE						GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION													GOBP_REGULATION_OF_CELL_DIFFERENTIATION			GOBP_INTRACELLULAR_SIGNALING_CASSETTE						GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT										GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY									GOCC_POSTSYNAPSE						GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION					GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
15559	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B [Source:MGI Symbol;Acc:MGI:109323]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR				GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE					GOBP_MONOATOMIC_ION_TRANSPORT						GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION		GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY				GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT				GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT	GOBP_ANIMAL_ORGAN_MORPHOGENESIS		GOBP_MUSCLE_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_BEHAVIOR				GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION							GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY				GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_TUBE_SIZE									GOBP_RESPONSE_TO_NITROGEN_COMPOUND		GOBP_HEART_DEVELOPMENT		GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION		GOBP_EPITHELIAL_CELL_PROLIFERATION					GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
110886	Gabra5	gamma-aminobutyric acid type A receptor subunit alpha 5 [Source:MGI Symbol;Acc:MGI:95617]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR					GOCC_CELL_BODY		GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT			GOBP_COGNITION				GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT												GOCC_POSTSYNAPTIC_MEMBRANE																			GOBP_NEURON_DEVELOPMENT			GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE			GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS								GOCC_PRESYNAPTIC_MEMBRANE				GOCC_GABA_ERGIC_SYNAPSE	GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
54615	Npff	neuropeptide FF-amide peptide precursor [Source:MGI Symbol;Acc:MGI:1891708]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_EXTRACELLULAR_SPACE	GOCC_AXON			GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS					GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY						GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION				GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS				GOBP_REGULATION_OF_SECRETION								GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS		GOCC_DISTAL_AXON						GOBP_SIGNAL_RELEASE			GOBP_REGULATION_OF_BLOOD_PRESSURE					GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY		GOCC_SECRETORY_VESICLE	GOCC_POSTSYNAPSE								GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION											GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
108058	Camk2d	calcium/calmodulin-dependent protein kinase II, delta [Source:MGI Symbol;Acc:MGI:1341265]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT						GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOBP_CELL_MIGRATION		GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY				GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT				GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT			GOBP_MUSCLE_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT		GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION											GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT					GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT			GOBP_MUSCLE_CONTRACTION										GOBP_DEVELOPMENTAL_GROWTH
15114	Hap1	huntingtin-associated protein 1 [Source:MGI Symbol;Acc:MGI:1261831]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE				GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT					GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOCC_NEURON_PROJECTION_TERMINUS		GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL		GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		GOBP_REGULATION_OF_SECRETION										GOCC_DISTAL_AXON							GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION						GOBP_NEURON_DEVELOPMENT									GOCC_SECRETORY_VESICLE	GOCC_POSTSYNAPSE													GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY		GOCC_GABA_ERGIC_SYNAPSE					
16504	Kcnc3	potassium voltage gated channel, Shaw-related subfamily, member 3 [Source:MGI Symbol;Acc:MGI:96669]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION				GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT				GOCC_DISTAL_AXON		GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT				GOBP_SIGNAL_RELEASE										GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							GOCC_POSTSYNAPSE											GOCC_PRESYNAPTIC_MEMBRANE					GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
12669	Chrm1	cholinergic receptor, muscarinic 1, CNS [Source:MGI Symbol;Acc:MGI:88396]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING			GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT		GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_COGNITION				GOBP_REGULATION_OF_MEMBRANE_POTENTIAL						GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE						GOCC_DISTAL_AXON				GOBP_LOCOMOTION											GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_RESPONSE_TO_NITROGEN_COMPOUND						GOCC_PRESYNAPTIC_MEMBRANE								GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
108069	Grm3	glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING						GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS			GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY											GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE																													GOCC_POSTSYNAPSE											GOCC_PRESYNAPTIC_MEMBRANE									
12308	Calb2	calbindin 2 [Source:MGI Symbol;Acc:MGI:101914]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING						GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE																	GOCC_NEURON_PROJECTION_TERMINUS																								GOCC_DISTAL_AXON																																											
76161	Lamp5	lysosomal-associated membrane protein family, member 5 [Source:MGI Symbol;Acc:MGI:1923411]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING						GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE																					GOCC_PLASMA_MEMBRANE_REGION																				GOCC_DISTAL_AXON																						GOCC_SECRETORY_VESICLE																GOCC_GABA_ERGIC_SYNAPSE					
216227	Slc17a8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8 [Source:MGI Symbol;Acc:MGI:3039629]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON			GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT			GOCC_NEURON_PROJECTION_TERMINUS						GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT				GOCC_DISTAL_AXON		GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT													GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT					GOCC_SECRETORY_VESICLE					GOBP_AMINE_TRANSPORT												GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
12672	Chrm4	cholinergic receptor, muscarinic 4 [Source:MGI Symbol;Acc:MGI:88399]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON			GOCC_CELL_BODY				GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE					GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY											GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS				GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE						GOCC_DISTAL_AXON				GOBP_LOCOMOTION																	GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE					GOBP_RESPONSE_TO_NITROGEN_COMPOUND						GOCC_PRESYNAPTIC_MEMBRANE									
20538	Slc6a2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2 [Source:MGI Symbol;Acc:MGI:1270850]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON			GOCC_CELL_BODY						GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT								GOCC_CELL_SURFACE						GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT					GOCC_SECRETORY_VESICLE				GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS								GOCC_PRESYNAPTIC_MEMBRANE									
19293	Pvalb	parvalbumin [Source:MGI Symbol;Acc:MGI:97821]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON			GOCC_CELL_BODY																																																																																										
243312	Elfn1	leucine rich repeat and fibronectin type III, extracellular 1 [Source:MGI Symbol;Acc:MGI:2442479]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT			GOCC_AXON							GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE																GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS				GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE						GOCC_DISTAL_AXON												GOBP_CELL_ADHESION											GOCC_POSTSYNAPSE																				
11542	Adora3	adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT				GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE					GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY							GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	GOCC_SYNAPTIC_MEMBRANE		GOBP_CELL_MOTILITY		GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL							GOBP_REGULATION_OF_SECRETION														GOBP_LOCOMOTION		GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION								GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOBP_REGULATION_OF_LOCOMOTION						GOBP_AMINE_TRANSPORT							GOCC_PRESYNAPTIC_MEMBRANE									
