"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","spark_pvalue","spark_pred","sparkx_pvalue","sparkx_pred","raw_zero_prop","category"
"EPHA7",0,1,0.0260806981720726,0,5.62680214181246e-10,1,1.52970162413824e-08,1,0.922275293095962,"GeoSVG-3D only"
"ETV1",0,1,0.177923051976121,0,5.55465258928979e-15,1,0.00291948895049752,1,0.955927051671733,"GeoSVG-3D only"
"FAM169B",0,1,0.694680804463678,0,0.0107259557419356,1,1,0,0.992184107685627,"GeoSVG-3D only"
"FAM183B",0,1,0.25528784150532,0,5.55465258928979e-15,1,3.62503348910407e-07,1,0.967867998263135,"GeoSVG-3D only"
"FAM92B",0,1,0.708915552842211,0,0.00420115266544507,1,0.545795862947924,0,0.994246634824142,"GeoSVG-3D only"
"FAT2",0,1,0.785251741969967,0,0.00148781590583061,1,1,0,0.995766391663048,"GeoSVG-3D only"
"FERMT1",0,1,0.881631310963248,0,0.202667688529073,0,0.792888021456195,0,0.996092053842814,"GeoSVG-3D only"
"FEZF1",0,1,0.373853140680782,0,5.55465258928979e-15,1,1.83322732398434e-17,1,0.981328701693443,"GeoSVG-3D only"
"FEZF2",0,1,0.214645340774355,0,1.57477495420343e-11,1,5.16789048802729e-31,1,0.98643074250977,"GeoSVG-3D only"
"GABRA5",0,1,0.0568432127833173,0,2.50566377284348e-15,1,1.19453643246626e-14,1,0.95223621363439,"GeoSVG-3D only"
"GABRQ",0,1,0.181392555181591,0,3.08030734496979e-15,1,1.94367072602245e-09,1,0.956795484151107,"GeoSVG-3D only"
"GCHFR",0,1,0.616355593602808,0,6.9989200157979e-07,1,0.00542528209291002,1,0.992726877985237,"GeoSVG-3D only"
"GFRA1",0,1,0.0207743146362996,0,2.50566377284348e-15,1,5.17005740312444e-09,1,0.879830655666522,"GeoSVG-3D only"
"GHRHR",0,1,0.971329340720819,0,1,0,1,0,0.998588797221016,"GeoSVG-3D only"
"GLRA3",0,1,0.169942289051468,0,6.22535072474776e-05,1,5.97513638224775e-07,1,0.954407294832827,"GeoSVG-3D only"
"GPSM3",0,1,0.251970037738602,0,3.95483384929699e-06,1,0.701146848279549,0,0.991098567086409,"GeoSVG-3D only"
"GPX3",0,1,0.0918848098666616,0,3.08030734496979e-15,1,1.05657354998532e-10,1,0.931068171949631,"GeoSVG-3D only"
"GRM3",0,1,0.0624918403861846,0,1.56985157016306e-07,1,3.75503650977748e-10,1,0.940946591402518,"GeoSVG-3D only"
"HAP1",0,1,1.7783967721674e-05,1,3.08030734496979e-15,1,1.83546307204842e-108,1,0.270842379504994,"Both"
"HAPLN1",0,1,0.423636776371554,0,2.17201158940178e-14,1,0.00911941195274025,1,0.97698653929657,"GeoSVG-3D only"
"HCRTR2",0,1,0.747084462928667,0,1,0,1,0,0.994572297003908,"GeoSVG-3D only"
"HDC",0,1,0.332289643343581,0,7.20142509197211e-12,1,0.0253214982630897,1,0.980460269214069,"GeoSVG-3D only"
"HOXA5",0,1,0.723503506809661,0,2.50566377284348e-15,1,0.0748188010854331,0,0.994246634824142,"GeoSVG-3D only"
"HOXA9",0,1,0.717214080856347,0,1,0,1,0,0.996851932262267,"GeoSVG-3D only"
"HOXB5",0,1,0.679992293906708,0,1,0,1,0,0.992618323925315,"GeoSVG-3D only"
"HOXB7",0,1,0.986092955022395,0,2.50566377284348e-15,1,1,0,0.999348675640469,"GeoSVG-3D only"
"HPCAL1",0,1,0.00611619998073887,1,2.50566377284348e-15,1,7.86198616690088e-37,1,0.753582283977421,"Both"
"HS3ST2",0,1,0.211493505560428,0,3.23480648262846e-05,1,0.0493694994670292,1,0.969387755102041,"GeoSVG-3D only"
"HS3ST4",0,1,0.161434698668647,0,0.0125762654116165,1,0.250917787826095,0,0.964937038645245,"GeoSVG-3D only"
"HTR2B",0,1,0.929426754149379,0,5.55465258928979e-15,1,1,0,0.997394702561876,"GeoSVG-3D only"
"HTR2C",0,1,0.044300978333199,0,5.55465258928979e-15,1,6.03773008841153e-13,1,0.924880590534086,"GeoSVG-3D only"
"IGFBP2",0,1,0.0587988637305762,0,2.50566377284348e-15,1,1.51429712862295e-10,1,0.94518019973947,"GeoSVG-3D only"
"IGFBP4",0,1,0.037574775660719,0,5.55465258928979e-15,1,2.93441132710624e-27,1,0.953647416413374,"GeoSVG-3D only"
"IGFBP6",0,1,0.239919978143581,0,2.77904081994341e-07,1,1.65226061157641e-16,1,0.98469387755102,"GeoSVG-3D only"
"IGSF8",0,1,0.000171097227146588,1,3.08030734496979e-15,1,7.14317066337408e-41,1,0.490230134607034,"Both"
"IL1R1",0,1,0.358181232387975,0,0.0126261713499079,1,0.00174250950876965,1,0.96993052540165,"GeoSVG-3D only"
"INHBA",0,1,0.41898974551955,0,7.06528923458556e-06,1,0.0244744508465036,1,0.989253148067738,"GeoSVG-3D only"
"INMT",0,1,0.634474337227078,0,0.712950030749452,0,0.381472210199379,0,0.993595310464611,"GeoSVG-3D only"
"INSRR",0,1,0.948483495594179,0,0.17180376232679,0,0.792888021456195,0,0.997394702561876,"GeoSVG-3D only"
"IRX4",0,1,0.695418616226895,0,0.282262774315079,0,1,0,0.994572297003908,"GeoSVG-3D only"
"ITIH3",0,1,0.000161467865697373,1,3.08030734496979e-15,1,1.53496762339801e-178,1,0.685410334346505,"Both"
"JUNB",0,1,0.457595972000024,0,0.194403259152189,0,0.394409969716791,0,0.981871471993053,"GeoSVG-3D only"
"KCNAB3",0,1,0.155139165800813,0,3.08030734496979e-15,1,1.18141691249041e-11,1,0.960160660008684,"GeoSVG-3D only"
"KCNC3",0,1,0.21966612188733,0,3.08030734496979e-15,1,1.27141351727674e-07,1,0.970147633521494,"GeoSVG-3D only"
"KCNG1",0,1,0.216893943939241,0,3.08030734496979e-15,1,3.64780792375788e-43,1,0.983825445071646,"GeoSVG-3D only"
"KCNH8",0,1,0.778379942662787,0,1,0,0.940524776934153,0,0.994246634824142,"GeoSVG-3D only"
"KCNMB2",0,1,0.805038799485846,0,0.00032450455606909,1,1,0,0.992618323925315,"GeoSVG-3D only"
"KCNS1",0,1,0.613595487753744,0,2.25374720055588e-06,1,9.2489223449703e-09,1,0.993812418584455,"GeoSVG-3D only"
"KISS1R",0,1,0.850807154075034,0,2.50566377284348e-15,1,1,0,0.99587494572297,"GeoSVG-3D only"
"KIT",0,1,0.575089175954999,0,1.66402222366809e-07,1,0.166608348442594,0,0.990990013026487,"GeoSVG-3D only"
"KITL",0,1,0.756043026968994,0,0.0442349341901185,1,0.0144969492104329,1,0.994572297003908,"GeoSVG-3D only"
"KLHL1",0,1,0.00732334210131969,1,2.50566377284348e-15,1,2.31408215859195e-30,1,0.860725141120278,"Both"
"KRT12",0,1,0.454047222758944,0,0.0190823304763745,1,0.0840354856360713,0,0.985670864090317,"GeoSVG-3D only"
"KRT15",0,1,0.959194289428783,0,1.32356956229171e-13,1,9.30345719188226e-07,1,0.997177594442032,"GeoSVG-3D only"
"KRT27",0,1,0.662375337442451,0,0.0123639186343537,1,4.36894878889233e-08,1,0.989036039947894,"GeoSVG-3D only"
"LAMP5",0,1,0.0768306058311757,0,2.50566377284348e-15,1,5.79623718126774e-24,1,0.968844984802432,"GeoSVG-3D only"
"LANCL3",0,1,0.828537205016658,0,2.34076018211684e-12,1,1,0,0.99706904038211,"GeoSVG-3D only"
"LCN2",0,1,0.962148431787435,0,2.50566377284348e-15,1,1,0,0.998914459400782,"GeoSVG-3D only"
"LEFTY1",0,1,0.934780874412703,0,1,0,1,0,0.997720364741641,"GeoSVG-3D only"
"LHX8",0,1,0.930799569599901,0,2.50566377284348e-15,1,0.0602271475388798,0,0.99880590534086,"GeoSVG-3D only"
"LMO1",0,1,0.0527039553340827,0,3.08030734496979e-15,1,1.01754561122483e-07,1,0.938341293964394,"GeoSVG-3D only"
"LPAR3",0,1,0.834401999496502,0,1.10536481408e-05,1,1,0,0.997720364741641,"GeoSVG-3D only"
"LPL",0,1,0.120064735273712,0,2.50566377284348e-15,1,8.95264347516787e-38,1,0.980894485453756,"GeoSVG-3D only"
"LSAMP",0,1,6.77889090084927e-05,1,3.08030734496979e-15,1,1.72660960709984e-52,1,0.508033000434216,"Both"
"LTK",0,1,0.128361055456329,0,3.77531717379729e-11,1,2.96248138095455e-13,1,0.95462440295267,"GeoSVG-3D only"
"LY6A",0,1,0.974062232373752,0,1,0,1,0,0.997720364741641,"GeoSVG-3D only"
"LY6G6E",0,1,0.67853160550003,0,2.28782064330209e-11,1,0.00190288727553641,1,0.996960486322188,"GeoSVG-3D only"
"LYPD6B",0,1,0.236296460079232,0,3.08030734496979e-15,1,4.73523690038489e-09,1,0.970690403821103,"GeoSVG-3D only"
"MAOB",0,1,0.0910794848205633,0,6.66957351849063e-12,1,0.00095046344689464,1,0.95223621363439,"GeoSVG-3D only"
"MAP3K7CL",0,1,0.928578594890344,0,1.02685222162848e-10,1,0.0262530634568013,1,0.996851932262267,"GeoSVG-3D only"
"MDGA1",0,1,0.00382928108186165,1,2.50566377284348e-15,1,1.58053373440704e-25,1,0.849109856708641,"Both"
"MFGE8",0,1,0.0171824783031915,0,3.08030734496979e-15,1,9.38194900943599e-11,1,0.893617021276596,"GeoSVG-3D only"
"MGP",0,1,0.426669784968475,0,0.00347871093260685,1,1,0,0.98349978289188,"GeoSVG-3D only"
"MLC1",0,1,0.0129940990987225,0,0.562249605106032,0,4.95144875952267e-11,1,0.825987841945289,"GeoSVG-3D only"
"MMP2",0,1,0.620044698892955,0,2.50566377284348e-15,1,0.0974260784843668,0,0.995223621363439,"GeoSVG-3D only"
"MPZ",0,1,0.938037057885836,0,1,0,1,0,0.997611810681719,"GeoSVG-3D only"
"MRAP2",0,1,0.0357738868288936,0,1.53055769944761e-13,1,2.96968284560958e-11,1,0.919887103777681,"GeoSVG-3D only"
"MRC1",0,1,0.665120422385472,0,4.83259980034699e-05,1,0.380984588661466,0,0.990447242726878,"GeoSVG-3D only"
"MRGPRD",0,1,0.918937057032535,0,1,0,1,0,0.998154580981329,"GeoSVG-3D only"
"MS4A15",0,1,0.969329142903584,0,1,0,1,0,0.997937472861485,"GeoSVG-3D only"
"MTNR1A",0,1,0.919588588123885,0,1,0,1,0,0.996309161962657,"GeoSVG-3D only"
"MUSTN1",0,1,0.581531041706621,0,2.50566377284348e-15,1,1,0,0.994463742943986,"GeoSVG-3D only"
"NEUROD2",0,1,0.355986984043796,0,0.0634338029069445,0,5.30028737473519e-06,1,0.981220147633522,"GeoSVG-3D only"
"NEUROD6",0,1,0.0131419518107921,0,9.76818185071501e-13,1,1.61466792683684e-27,1,0.956469821971342,"GeoSVG-3D only"
"NMS",0,1,0.835629914999455,0,2.50566377284348e-15,1,0.0604577767805861,0,0.995332175423361,"GeoSVG-3D only"
"NOTUM",0,1,0.491301168930798,0,1.24884460643204e-10,1,0.0080254114621715,1,0.978831958315241,"GeoSVG-3D only"
"NOV",0,1,0.250358992251641,0,5.55465258928979e-15,1,1.28616770280034e-16,1,0.969604863221885,"GeoSVG-3D only"
"NPBWR1",0,1,0.878366307670934,0,2.50566377284348e-15,1,1,0,0.996960486322188,"GeoSVG-3D only"
"NPTX1",0,1,0.000359327666780596,1,2.50566377284348e-15,1,7.00223027183054e-27,1,0.716022579244464,"Both"
"NPY",0,1,0.259797333894535,0,2.50566377284348e-15,1,6.88815184959537e-08,1,0.983933999131568,"GeoSVG-3D only"
"NPY1R",0,1,0.927847554205304,0,1.68364625066672e-13,1,1,0,0.997611810681719,"GeoSVG-3D only"
"NPY4R",0,1,0.670685242004612,0,0.0425728505449661,1,0.274295859175616,0,0.991424229266175,"GeoSVG-3D only"
"NR4A3",0,1,0.54862721415452,0,6.97819201702478e-05,1,0.00471999543781569,1,0.989144594007816,"GeoSVG-3D only"
"NRGN",0,1,4.99708815393518e-06,1,5.55465258928979e-15,1,0,1,0.695614415979158,"Both"
"NTSR1",0,1,0.24058860614125,0,9.74147197846696e-11,1,2.59429544116878e-08,1,0.966565349544073,"GeoSVG-3D only"
"NTSR2",0,1,0.00823900846736036,1,3.08030734496979e-15,1,2.22585307763258e-22,1,0.847590099869735,"Both"
"NXPH1",0,1,0.0575404809008609,0,2.50566377284348e-15,1,1.77792697238479e-17,1,0.926726009552757,"GeoSVG-3D only"
"NYAP2",0,1,0.0179404394460803,0,3.08030734496979e-15,1,1.33379849455999e-21,1,0.858119843682154,"GeoSVG-3D only"
"OPRD1",0,1,0.706060340454423,0,3.12491545438627e-13,1,1,0,0.994029526704299,"GeoSVG-3D only"
"OSCP1",0,1,0.0247475486750799,0,0.0211714914031409,1,2.6460904079523e-16,1,0.860616587060356,"GeoSVG-3D only"
"OXT",0,1,0.769596155977565,0,1,0,0.237332187253362,0,0.991315675206253,"GeoSVG-3D only"
"PAK4",0,1,0.208468695299323,0,0.162194742642551,0,0.945583588907968,0,0.96993052540165,"GeoSVG-3D only"
"PARP14",0,1,0.472632879840508,0,0.000285107442636706,1,1,0,0.98936170212766,"GeoSVG-3D only"
"PDE1A",0,1,0.0798131800022717,0,3.08030734496979e-15,1,9.19066464699826e-18,1,0.931068171949631,"GeoSVG-3D only"
"PDGFRA",0,1,0.30818096112997,0,0.00100166474400126,1,0.000963849484604191,1,0.964177160225792,"GeoSVG-3D only"
"PDLIM1",0,1,0.700296201533726,0,0.709914132108324,0,0.451326664728627,0,0.993920972644377,"GeoSVG-3D only"
"PDZK1IP1",0,1,0.702018639424932,0,0.00967631193454241,1,0.119423977521102,0,0.993812418584455,"GeoSVG-3D only"
"PF4",0,1,0.93691545515635,0,3.05675759462599e-13,1,1,0,0.997286148501954,"GeoSVG-3D only"
"PGR15L",0,1,0.128383777123449,0,3.08030734496979e-15,1,2.94077626737009e-10,1,0.96873643074251,"GeoSVG-3D only"
"PIK3R3",0,1,0.098443987472928,0,1.8079565125513e-12,1,5.94490353884796e-09,1,0.937689969604863,"GeoSVG-3D only"
"PLCXD2",0,1,0.0207543248643239,0,3.08030734496979e-15,1,3.92458422845275e-20,1,0.851389491967,"GeoSVG-3D only"
"PMCH",0,1,0.000294230436373111,1,2.50566377284348e-15,1,1.23605497637224e-31,1,0.897307859313938,"Both"
"PNMT",0,1,0.675317349531946,0,3.08030734496979e-15,1,0.238577897905564,0,0.99587494572297,"GeoSVG-3D only"
"POMC",0,1,0.032070489459322,0,0.00190188373494135,1,9.04270129103868e-08,1,0.986864958749457,"GeoSVG-3D only"
"POU4F2",0,1,0.957354389904343,0,1,0,1,0,0.997720364741641,"GeoSVG-3D only"
"PPP1R3G",0,1,0.555914768750212,0,1,0,0.805616428300121,0,0.985453755970473,"GeoSVG-3D only"
"PRC1",0,1,0.955080139093944,0,1,0,1,0,0.996851932262267,"GeoSVG-3D only"
"PRKCG",0,1,0.219051525795017,0,9.38928157448661e-07,1,0.00616384891002742,1,0.968953538862353,"GeoSVG-3D only"
"PROCR",0,1,0.744514891399952,0,1,0,1,0,0.994029526704299,"GeoSVG-3D only"
"PRX",0,1,0.618882149183862,0,0.591079670473927,0,0.402580179385068,0,0.990990013026487,"GeoSVG-3D only"
"PTPRZ1",0,1,0.204190381009854,0,0.000288823595377281,1,1.29911829663043e-05,1,0.959509335649153,"GeoSVG-3D only"
"PVALB",0,1,0.0174376700110627,0,3.08030734496979e-15,1,3.91948596683646e-10,1,0.925531914893617,"GeoSVG-3D only"
"PYY",0,1,0.915581081909952,0,9.71255126380182e-08,1,1,0,0.997828918801563,"GeoSVG-3D only"
"RARRES1",0,1,0.593866815180508,0,2.50566377284348e-15,1,0.571316601476443,0,0.995332175423361,"GeoSVG-3D only"
"RASL10A",0,1,0.443245790381073,0,0.00084459765414411,1,0.466289928875667,0,0.988276161528441,"GeoSVG-3D only"
"RBP4",0,1,0.648858456015735,0,2.1504932083303e-13,1,0.00909353701073909,1,0.99294398610508,"GeoSVG-3D only"
"RELN",0,1,0.104689429948466,0,4.13940380856197e-09,1,0.000141835465211862,1,0.96168041684759,"GeoSVG-3D only"
"RGS14",0,1,0.833039199277244,0,1,0,1,0,0.994572297003908,"GeoSVG-3D only"
"RGS4",0,1,0.00459154295849196,1,2.50566377284348e-15,1,2.38681273553598e-13,1,0.788862353452019,"Both"
"RGS9",0,1,0.016362427707808,0,3.08030734496979e-15,1,1.64267165761027e-15,1,0.871146330872775,"GeoSVG-3D only"
"RPS24",0,1,2.52382116064931e-05,1,3.08030734496979e-15,1,8.25096318514749e-77,1,0.368323925314807,"Both"
"RSPO3",0,1,0.574882423337976,0,3.07651939945098e-11,1,1,0,0.993161094224924,"GeoSVG-3D only"
"RXFP1",0,1,0.521153559485427,0,2.50566377284348e-15,1,0.123224160473608,0,0.991315675206253,"GeoSVG-3D only"
"RXRG",0,1,0.0643407934089152,0,9.04514511267367e-07,1,6.92020804988944e-09,1,0.939426834563613,"GeoSVG-3D only"
"SAPCD2",0,1,0.225371590175154,0,3.08030734496979e-15,1,1.79603672863658e-48,1,0.968302214502822,"GeoSVG-3D only"
"SATB1",0,1,0.00239373671798537,1,2.50566377284348e-15,1,4.54215925603152e-08,1,0.843030829353018,"Both"
"SATB2",0,1,0.150850653131494,0,3.08030734496979e-15,1,1.16028847565536e-90,1,0.98881893182805,"GeoSVG-3D only"
"SCN4B",0,1,0.155878026643869,0,2.50566377284348e-15,1,6.29679292860906e-11,1,0.965262700825011,"GeoSVG-3D only"
"SCTR",0,1,0.934803745981118,0,0.0670175344499297,0,1,0,0.996417716022579,"GeoSVG-3D only"
"SEMA4D",0,1,0.0485051113025361,0,5.77672577971712e-09,1,3.81565910326652e-09,1,0.893725575336518,"GeoSVG-3D only"
"SEMA5A",0,1,0.0122182620634514,0,3.08030734496979e-15,1,2.99267786141207e-18,1,0.868323925314807,"GeoSVG-3D only"
"SEZ6",0,1,0.00107633835398857,1,2.50566377284348e-15,1,1.61904490183533e-32,1,0.71168041684759,"Both"
