"method_1","method_2","category","gene"
"GeoSVG-3D","SPARK","Overlap","EMX2"
"GeoSVG-3D","SPARK","Overlap","EN1"
"GeoSVG-3D","SPARK","Overlap","EPHA7"
"GeoSVG-3D","SPARK","Overlap","ETV1"
"GeoSVG-3D","SPARK","Overlap","FAM169B"
"GeoSVG-3D","SPARK","Overlap","FAM183B"
"GeoSVG-3D","SPARK","Overlap","FAM92B"
"GeoSVG-3D","SPARK","Overlap","FAT2"
"GeoSVG-3D","SPARK","Overlap","FBP2"
"GeoSVG-3D","SPARK","Overlap","FEZF1"
"GeoSVG-3D","SPARK","Overlap","FEZF2"
"GeoSVG-3D","SPARK","Overlap","FOXP2"
"GeoSVG-3D","SPARK","Overlap","GABRA5"
"GeoSVG-3D","SPARK","Overlap","GABRQ"
"GeoSVG-3D","SPARK","Overlap","GCHFR"
"GeoSVG-3D","SPARK","Overlap","GFRA1"
"GeoSVG-3D","SPARK","Overlap","GLRA1"
"GeoSVG-3D","SPARK","Overlap","GLRA3"
"GeoSVG-3D","SPARK","Overlap","GPSM3"
"GeoSVG-3D","SPARK","Overlap","GPX2"
"GeoSVG-3D","SPARK","Overlap","GPX3"
"GeoSVG-3D","SPARK","Overlap","GRIK1"
"GeoSVG-3D","SPARK","Overlap","GRM3"
"GeoSVG-3D","SPARK","Overlap","HAP1"
"GeoSVG-3D","SPARK","Overlap","HAPLN1"
"GeoSVG-3D","SPARK","Overlap","HDC"
"GeoSVG-3D","SPARK","Overlap","HOXA5"
"GeoSVG-3D","SPARK","Overlap","HOXB7"
"GeoSVG-3D","SPARK","Overlap","HPCAL1"
"GeoSVG-3D","SPARK","Overlap","HS3ST2"
"GeoSVG-3D","SPARK","Overlap","HS3ST4"
"GeoSVG-3D","SPARK","Overlap","HTR2B"
"GeoSVG-3D","SPARK","Overlap","HTR2C"
"GeoSVG-3D","SPARK","Overlap","IGFBP2"
"GeoSVG-3D","SPARK","Overlap","IGFBP4"
"GeoSVG-3D","SPARK","Overlap","IGFBP6"
"GeoSVG-3D","SPARK","Overlap","IGSF8"
"GeoSVG-3D","SPARK","Overlap","IL1R1"
"GeoSVG-3D","SPARK","Overlap","INHBA"
"GeoSVG-3D","SPARK","Overlap","ITIH3"
"GeoSVG-3D","SPARK","Overlap","KCNAB3"
"GeoSVG-3D","SPARK","Overlap","KCNC3"
"GeoSVG-3D","SPARK","Overlap","KCNG1"
"GeoSVG-3D","SPARK","Overlap","KCNMB2"
"GeoSVG-3D","SPARK","Overlap","KCNS1"
"GeoSVG-3D","SPARK","Overlap","KISS1R"
"GeoSVG-3D","SPARK","Overlap","KIT"
"GeoSVG-3D","SPARK","Overlap","KITL"
"GeoSVG-3D","SPARK","Overlap","KLHL1"
"GeoSVG-3D","SPARK","Overlap","KRT12"
"GeoSVG-3D","SPARK","Overlap","KRT15"
"GeoSVG-3D","SPARK","Overlap","KRT27"
"GeoSVG-3D","SPARK","Overlap","LAMP5"
"GeoSVG-3D","SPARK","Overlap","LANCL3"
"GeoSVG-3D","SPARK","Overlap","LCN2"
"GeoSVG-3D","SPARK","Overlap","LHX8"
"GeoSVG-3D","SPARK","Overlap","LMO1"
"GeoSVG-3D","SPARK","Overlap","LPAR3"
"GeoSVG-3D","SPARK","Overlap","LPL"
"GeoSVG-3D","SPARK","Overlap","LSAMP"
"GeoSVG-3D","SPARK","Overlap","LTK"
"GeoSVG-3D","SPARK","Overlap","LY6G6E"
"GeoSVG-3D","SPARK","Overlap","LYPD6B"
"GeoSVG-3D","SPARK","Overlap","MAOB"
"GeoSVG-3D","SPARK","Overlap","MAP3K7CL"
"GeoSVG-3D","SPARK","Overlap","MDGA1"
"GeoSVG-3D","SPARK","Overlap","MEOX1"
"GeoSVG-3D","SPARK","Overlap","MFAP4"
"GeoSVG-3D","SPARK","Overlap","MFGE8"
"GeoSVG-3D","SPARK","Overlap","MFSD2A"
"GeoSVG-3D","SPARK","Overlap","MGP"
"GeoSVG-3D","SPARK","Overlap","MKI67"
"GeoSVG-3D","SPARK","Overlap","MMP2"
"GeoSVG-3D","SPARK","Overlap","MRAP2"
"GeoSVG-3D","SPARK","Overlap","MRC1"
"GeoSVG-3D","SPARK","Overlap","MUSTN1"
"GeoSVG-3D","SPARK","Overlap","MYOC"
"GeoSVG-3D","SPARK","Overlap","NDST4"
"GeoSVG-3D","SPARK","Overlap","NELL1"
"GeoSVG-3D","SPARK","Overlap","NEUROD6"
"GeoSVG-3D","SPARK","Overlap","NMS"
"GeoSVG-3D","SPARK","Overlap","NOTUM"
"GeoSVG-3D","SPARK","Overlap","NOV"
"GeoSVG-3D","SPARK","Overlap","NPBWR1"
"GeoSVG-3D","SPARK","Overlap","NPFF"
"GeoSVG-3D","SPARK","Overlap","NPTX1"
"GeoSVG-3D","SPARK","Overlap","NPY"
"GeoSVG-3D","SPARK","Overlap","NPY1R"
"GeoSVG-3D","SPARK","Overlap","NPY4R"
"GeoSVG-3D","SPARK","Overlap","NR4A3"
"GeoSVG-3D","SPARK","Overlap","NRGN"
"GeoSVG-3D","SPARK","Overlap","NTSR1"
"GeoSVG-3D","SPARK","Overlap","NTSR2"
"GeoSVG-3D","SPARK","Overlap","NXPH1"
"GeoSVG-3D","SPARK","Overlap","NXPH4"
"GeoSVG-3D","SPARK","Overlap","NYAP2"
"GeoSVG-3D","SPARK","Overlap","OPRD1"
"GeoSVG-3D","SPARK","Overlap","OSCP1"
"GeoSVG-3D","SPARK","Overlap","PARP14"
"GeoSVG-3D","SPARK","Overlap","PDE1A"
"GeoSVG-3D","SPARK","Overlap","PDGFRA"
"GeoSVG-3D","SPARK","Overlap","PDZK1IP1"
"GeoSVG-3D","SPARK","Overlap","PF4"
"GeoSVG-3D","SPARK","Overlap","PGR15L"
"GeoSVG-3D","SPARK","Overlap","PIK3R3"
"GeoSVG-3D","SPARK","Overlap","PLCXD2"
"GeoSVG-3D","SPARK","Overlap","PMCH"
"GeoSVG-3D","SPARK","Overlap","PNMT"
"GeoSVG-3D","SPARK","Overlap","POMC"
"GeoSVG-3D","SPARK","Overlap","PRKCG"
"GeoSVG-3D","SPARK","Overlap","PTPRZ1"
"GeoSVG-3D","SPARK","Overlap","PVALB"
"GeoSVG-3D","SPARK","Overlap","PYY"
"GeoSVG-3D","SPARK","Overlap","RARRES1"
"GeoSVG-3D","SPARK","Overlap","RASL10A"
"GeoSVG-3D","SPARK","Overlap","RASL11A"
"GeoSVG-3D","SPARK","Overlap","RBP4"
"GeoSVG-3D","SPARK","Overlap","RELN"
"GeoSVG-3D","SPARK","Overlap","RGS4"
"GeoSVG-3D","SPARK","Overlap","RGS9"
"GeoSVG-3D","SPARK","Overlap","RLN3"
"GeoSVG-3D","SPARK","Overlap","RORB"
"GeoSVG-3D","SPARK","Overlap","RPS24"
"GeoSVG-3D","SPARK","Overlap","RSPO3"
"GeoSVG-3D","SPARK","Overlap","RXFP1"
"GeoSVG-3D","SPARK","Overlap","RXRG"
"GeoSVG-3D","SPARK","Overlap","SAPCD2"
"GeoSVG-3D","SPARK","Overlap","SATB1"
"GeoSVG-3D","SPARK","Overlap","SATB2"
"GeoSVG-3D","SPARK","Overlap","SCN4B"
"GeoSVG-3D","SPARK","Overlap","SEMA3A"
"GeoSVG-3D","SPARK","Overlap","SEMA4D"
"GeoSVG-3D","SPARK","Overlap","SEMA5A"
"GeoSVG-3D","SPARK","Overlap","SEZ6"
"GeoSVG-3D","SPARK","Overlap","SLA"
"GeoSVG-3D","SPARK","Overlap","SLA2"
"GeoSVG-3D","SPARK","Overlap","SLC17A6"
"GeoSVG-3D","SPARK","Overlap","SLC17A7"
"GeoSVG-3D","SPARK","Overlap","SLC17A8"
"GeoSVG-3D","SPARK","Overlap","SLC18A3"
"GeoSVG-3D","SPARK","Overlap","SLC30A3"
"GeoSVG-3D","SPARK","Overlap","SLC6A11"
"GeoSVG-3D","SPARK","Overlap","SLC6A2"
"GeoSVG-3D","SPARK","Overlap","SLC6A3"
"GeoSVG-3D","SPARK","Overlap","SMIM17"
"GeoSVG-3D","SPARK","Overlap","SMOC1"
"GeoSVG-3D","SPARK","Overlap","SNCG"
"GeoSVG-3D","SPARK","Overlap","SOX11"
"GeoSVG-3D","SPARK","Overlap","SOX14"
"GeoSVG-3D","SPARK","Overlap","SPARC"
"GeoSVG-3D","SPARK","Overlap","SPHKAP"
"GeoSVG-3D","SPARK","Overlap","SST"
"GeoSVG-3D","SPARK","Overlap","ST18"
"GeoSVG-3D","SPARK","Overlap","STAC2"
"GeoSVG-3D","SPARK","Overlap","STARD8"
"GeoSVG-3D","SPARK","Overlap","STK32B"
"GeoSVG-3D","SPARK","Overlap","SULF1"
"GeoSVG-3D","SPARK","Overlap","SULF2"
"GeoSVG-3D","SPARK","Overlap","SUMO2"
"GeoSVG-3D","SPARK","Overlap","TACR1"
"GeoSVG-3D","SPARK","Overlap","TBR1"
"GeoSVG-3D","SPARK","Overlap","TCAP"
"GeoSVG-3D","SPARK","Overlap","TCF4"
"GeoSVG-3D","SPARK","Overlap","TEKT5"
"GeoSVG-3D","SPARK","Overlap","TFAP2D"
"GeoSVG-3D","SPARK","Overlap","TMEM132C"
"GeoSVG-3D","SPARK","Overlap","TMEM163"
"GeoSVG-3D","SPARK","Overlap","TMEM233"
"GeoSVG-3D","SPARK","Overlap","TMEM255B"
"GeoSVG-3D","SPARK","Overlap","TMEM72"
"GeoSVG-3D","SPARK","Overlap","TUBGCP2"
"GeoSVG-3D","SPARK","Overlap","UCN"
"GeoSVG-3D","SPARK","Overlap","UGT8A"
"GeoSVG-3D","SPARK","Overlap","VGLL3"
"GeoSVG-3D","SPARK","Overlap","VIP"
"GeoSVG-3D","SPARK","Overlap","VWC2L"
"GeoSVG-3D","SPARK","Overlap","VWF"
"GeoSVG-3D","SPARK","Overlap","WIF1"
"GeoSVG-3D","SPARK","Overlap","ZBTB20"
"GeoSVG-3D","SPARK","Overlap","ZFHX4"
"GeoSVG-3D","SPARK","GeoSVG-3D only","ADCY1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","AGRP"
"GeoSVG-3D","SPARK","GeoSVG-3D only","ARG1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","ARSJ"
"GeoSVG-3D","SPARK","GeoSVG-3D only","BAIAP2L1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","BDKRB2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","C1QTNF7"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CBS"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CD93"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CFAP58"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CFH"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CLDN19"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CLIC6"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CNR2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","COL12A1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","COL19A1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","COL3A1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CORO6"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CORT"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CRCT1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","CRIM1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","DKK1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","DLX2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","FERMT1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","GHRHR"
"GeoSVG-3D","SPARK","GeoSVG-3D only","HCRTR2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","HOXA9"
"GeoSVG-3D","SPARK","GeoSVG-3D only","HOXB5"
"GeoSVG-3D","SPARK","GeoSVG-3D only","INMT"
"GeoSVG-3D","SPARK","GeoSVG-3D only","INSRR"
"GeoSVG-3D","SPARK","GeoSVG-3D only","IRX4"
"GeoSVG-3D","SPARK","GeoSVG-3D only","IYD"
"GeoSVG-3D","SPARK","GeoSVG-3D only","JUNB"
"GeoSVG-3D","SPARK","GeoSVG-3D only","KCNH8"
"GeoSVG-3D","SPARK","GeoSVG-3D only","KCNMB1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","LEFTY1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","LRG1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","LY6A"
"GeoSVG-3D","SPARK","GeoSVG-3D only","MLC1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","MPZ"
"GeoSVG-3D","SPARK","GeoSVG-3D only","MRGPRD"
"GeoSVG-3D","SPARK","GeoSVG-3D only","MS4A15"
"GeoSVG-3D","SPARK","GeoSVG-3D only","MTNR1A"
"GeoSVG-3D","SPARK","GeoSVG-3D only","NEUROD2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","OXT"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PAK4"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PAX8"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PBX3"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PDLIM1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","POU4F2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PPP1R3G"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PRC1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PROCR"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PROK2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","PRX"
"GeoSVG-3D","SPARK","GeoSVG-3D only","RGS14"
"GeoSVG-3D","SPARK","GeoSVG-3D only","SCTR"
"GeoSVG-3D","SPARK","GeoSVG-3D only","SLC47A1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","SLC6A13"
"GeoSVG-3D","SPARK","GeoSVG-3D only","SLN"
"GeoSVG-3D","SPARK","GeoSVG-3D only","SPINK8"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TAX1BP3"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TCERG1L"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TEDDM3"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TIMP4"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TLX3"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TMEM119"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TNF"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TNNT1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TPH2"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TRP73"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TRPV1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","TYRP1"
"GeoSVG-3D","SPARK","GeoSVG-3D only","UBE2C"
"GeoSVG-3D","SPARK","GeoSVG-3D only","VCAN"
"GeoSVG-3D","SPARK","GeoSVG-3D only","WNT2"
"GeoSVG-3D","SPARK","SPARK only","ACBD7"
"GeoSVG-3D","SPARK","SPARK only","ACTA2"
"GeoSVG-3D","SPARK","SPARK only","ADA"
"GeoSVG-3D","SPARK","SPARK only","ADARB2"
"GeoSVG-3D","SPARK","SPARK only","ADCYAP1"
"GeoSVG-3D","SPARK","SPARK only","ADGRG2"
"GeoSVG-3D","SPARK","SPARK only","ADM"
"GeoSVG-3D","SPARK","SPARK only","ADORA2A"
"GeoSVG-3D","SPARK","SPARK only","AGTR2"
"GeoSVG-3D","SPARK","SPARK only","AJAP1"
"GeoSVG-3D","SPARK","SPARK only","ANGPT2"
"GeoSVG-3D","SPARK","SPARK only","ANLN"
"GeoSVG-3D","SPARK","SPARK only","APLN"
"GeoSVG-3D","SPARK","SPARK only","APOD"
"GeoSVG-3D","SPARK","SPARK only","APOLD1"
"GeoSVG-3D","SPARK","SPARK only","AQP1"
"GeoSVG-3D","SPARK","SPARK only","AQP4"
"GeoSVG-3D","SPARK","SPARK only","ARHGAP6"
"GeoSVG-3D","SPARK","SPARK only","ASB4"
"GeoSVG-3D","SPARK","SPARK only","ASIC4"
"GeoSVG-3D","SPARK","SPARK only","ATF3"
"GeoSVG-3D","SPARK","SPARK only","ATP2B4"
"GeoSVG-3D","SPARK","SPARK only","BAIAP3"
"GeoSVG-3D","SPARK","SPARK only","BARHL1"
"GeoSVG-3D","SPARK","SPARK only","BCL11B"
"GeoSVG-3D","SPARK","SPARK only","BCL6"
"GeoSVG-3D","SPARK","SPARK only","BDNF"
"GeoSVG-3D","SPARK","SPARK only","BIRC5"
"GeoSVG-3D","SPARK","SPARK only","BMP4"
"GeoSVG-3D","SPARK","SPARK only","BRCA1"
"GeoSVG-3D","SPARK","SPARK only","C1QL1"
"GeoSVG-3D","SPARK","SPARK only","C1QL3"
"GeoSVG-3D","SPARK","SPARK only","C4B"
"GeoSVG-3D","SPARK","SPARK only","CABP7"
"GeoSVG-3D","SPARK","SPARK only","CACNA2D1"
"GeoSVG-3D","SPARK","SPARK only","CADM1"
"GeoSVG-3D","SPARK","SPARK only","CADM2"
"GeoSVG-3D","SPARK","SPARK only","CALB1"
"GeoSVG-3D","SPARK","SPARK only","CALCA"
"GeoSVG-3D","SPARK","SPARK only","CALCRL"
"GeoSVG-3D","SPARK","SPARK only","CAR10"
"GeoSVG-3D","SPARK","SPARK only","CAR2"
"GeoSVG-3D","SPARK","SPARK only","CAR3"
"GeoSVG-3D","SPARK","SPARK only","CARD10"
"GeoSVG-3D","SPARK","SPARK only","CARTPT"
"GeoSVG-3D","SPARK","SPARK only","CASP4"
"GeoSVG-3D","SPARK","SPARK only","CASP8"
"GeoSVG-3D","SPARK","SPARK only","CASR"
"GeoSVG-3D","SPARK","SPARK only","CBLN1"
"GeoSVG-3D","SPARK","SPARK only","CBLN3"
"GeoSVG-3D","SPARK","SPARK only","CBR2"
"GeoSVG-3D","SPARK","SPARK only","CCKAR"
"GeoSVG-3D","SPARK","SPARK only","CCL24"
"GeoSVG-3D","SPARK","SPARK only","CCL3"
"GeoSVG-3D","SPARK","SPARK only","CCL4"
"GeoSVG-3D","SPARK","SPARK only","CCNE1"
"GeoSVG-3D","SPARK","SPARK only","CCP110"
"GeoSVG-3D","SPARK","SPARK only","CCRL2"
"GeoSVG-3D","SPARK","SPARK only","CDKN1C"
"GeoSVG-3D","SPARK","SPARK only","CEMIP"
"GeoSVG-3D","SPARK","SPARK only","CENPF"
"GeoSVG-3D","SPARK","SPARK only","CFAP126"
"GeoSVG-3D","SPARK","SPARK only","CHAT"
"GeoSVG-3D","SPARK","SPARK only","CHODL"
"GeoSVG-3D","SPARK","SPARK only","CHRM2"
"GeoSVG-3D","SPARK","SPARK only","CHRM3"
"GeoSVG-3D","SPARK","SPARK only","CHRNA2"
"GeoSVG-3D","SPARK","SPARK only","CHRNA3"
"GeoSVG-3D","SPARK","SPARK only","CKS2"
"GeoSVG-3D","SPARK","SPARK only","CLDN11"
"GeoSVG-3D","SPARK","SPARK only","CLEC2L"
"GeoSVG-3D","SPARK","SPARK only","CLIC5"
"GeoSVG-3D","SPARK","SPARK only","CNKSR3"
"GeoSVG-3D","SPARK","SPARK only","CNPY1"
"GeoSVG-3D","SPARK","SPARK only","CNTNAP3"
"GeoSVG-3D","SPARK","SPARK only","COL15A1"
"GeoSVG-3D","SPARK","SPARK only","COL18A1"
"GeoSVG-3D","SPARK","SPARK only","COL25A1"
"GeoSVG-3D","SPARK","SPARK only","COL6A1"
"GeoSVG-3D","SPARK","SPARK only","COL9A2"
"GeoSVG-3D","SPARK","SPARK only","COX4I2"
"GeoSVG-3D","SPARK","SPARK only","COX6A2"
"GeoSVG-3D","SPARK","SPARK only","CPNE4"
"GeoSVG-3D","SPARK","SPARK only","CPNE6"
"GeoSVG-3D","SPARK","SPARK only","CPXM2"
"GeoSVG-3D","SPARK","SPARK only","CREB3L1"
"GeoSVG-3D","SPARK","SPARK only","CRHBP"
"GeoSVG-3D","SPARK","SPARK only","CRISP1"
"GeoSVG-3D","SPARK","SPARK only","CRYM"
"GeoSVG-3D","SPARK","SPARK only","CSPG5"
"GeoSVG-3D","SPARK","SPARK only","CST3"
"GeoSVG-3D","SPARK","SPARK only","CTPS"
"GeoSVG-3D","SPARK","SPARK only","CTSS"
"GeoSVG-3D","SPARK","SPARK only","CYP26B1"
"GeoSVG-3D","SPARK","SPARK only","CYP2S1"
"GeoSVG-3D","SPARK","SPARK only","CYTH3"
"GeoSVG-3D","SPARK","SPARK only","DBPHT2"
"GeoSVG-3D","SPARK","SPARK only","DCLK3"
"GeoSVG-3D","SPARK","SPARK only","DEGS2"
"GeoSVG-3D","SPARK","SPARK only","DEPTOR"
"GeoSVG-3D","SPARK","SPARK only","DLX5"
"GeoSVG-3D","SPARK","SPARK only","DPY19L1"
"GeoSVG-3D","SPARK","SPARK only","DRD1"
"GeoSVG-3D","SPARK","SPARK only","DRD3"
"GeoSVG-3D","SPARK","SPARK only","DRD4"
"GeoSVG-3D","SPARK","SPARK only","DRD5"
"GeoSVG-3D","SPARK","SPARK only","EBF1"
"GeoSVG-3D","SPARK","SPARK only","EBF2"
"GeoSVG-3D","SPARK","SPARK only","ECSCR"
"GeoSVG-3D","SPARK","SPARK only","EFHD1"
"GeoSVG-3D","SPARK","SPARK only","EFHD2"
"GeoSVG-3D","SPARK","SPARK only","EFNA5"
"GeoSVG-3D","SPARK","SPARK only","EGLN3"
"GeoSVG-3D","SPARK","SPARK only","ENPP6"
"GeoSVG-3D","SPARK","SPARK only","EOMES"
"GeoSVG-3D","SPARK","SPARK only","EPYC"
"GeoSVG-3D","SPARK","SPARK only","ESRRG"
"GeoSVG-3D","SPARK","SPARK only","FABP7"
"GeoSVG-3D","SPARK","SPARK only","FAM107A"
"GeoSVG-3D","SPARK","SPARK only","FAM214A"
"GeoSVG-3D","SPARK","SPARK only","FAM216B"
"GeoSVG-3D","SPARK","SPARK only","FBLN2"
"GeoSVG-3D","SPARK","SPARK only","FBLN5"
"GeoSVG-3D","SPARK","SPARK only","FGF10"
"GeoSVG-3D","SPARK","SPARK only","FGFR3"
"GeoSVG-3D","SPARK","SPARK only","FIBCD1"
"GeoSVG-3D","SPARK","SPARK only","FIGN"
"GeoSVG-3D","SPARK","SPARK only","FJX1"
"GeoSVG-3D","SPARK","SPARK only","FOLR1"
"GeoSVG-3D","SPARK","SPARK only","FOS"
"GeoSVG-3D","SPARK","SPARK only","FSHR"
"GeoSVG-3D","SPARK","SPARK only","GABBR1"
"GeoSVG-3D","SPARK","SPARK only","GABBR2"
"GeoSVG-3D","SPARK","SPARK only","GABRA6"
"GeoSVG-3D","SPARK","SPARK only","GABRR2"
"GeoSVG-3D","SPARK","SPARK only","GAD1"
"GeoSVG-3D","SPARK","SPARK only","GAD2"
"GeoSVG-3D","SPARK","SPARK only","GAL"
"GeoSVG-3D","SPARK","SPARK only","GALNTL6"
"GeoSVG-3D","SPARK","SPARK only","GALR1"
"GeoSVG-3D","SPARK","SPARK only","GALR2"
"GeoSVG-3D","SPARK","SPARK only","GAST"
"GeoSVG-3D","SPARK","SPARK only","GATA3"
"GeoSVG-3D","SPARK","SPARK only","GBX1"
"GeoSVG-3D","SPARK","SPARK only","GBX2"
"GeoSVG-3D","SPARK","SPARK only","GCH1"
"GeoSVG-3D","SPARK","SPARK only","GFAP"
"GeoSVG-3D","SPARK","SPARK only","GFRA2"
"GeoSVG-3D","SPARK","SPARK only","GHRH"
"GeoSVG-3D","SPARK","SPARK only","GHSR"
"GeoSVG-3D","SPARK","SPARK only","GIPR"
"GeoSVG-3D","SPARK","SPARK only","GJA1"
"GeoSVG-3D","SPARK","SPARK only","GJB2"
"GeoSVG-3D","SPARK","SPARK only","GLDC"
"GeoSVG-3D","SPARK","SPARK only","GM5741"
"GeoSVG-3D","SPARK","SPARK only","GNA14"
"GeoSVG-3D","SPARK","SPARK only","GNG4"
"GeoSVG-3D","SPARK","SPARK only","GNG8"
"GeoSVG-3D","SPARK","SPARK only","GPR101"
"GeoSVG-3D","SPARK","SPARK only","GPR119"
"GeoSVG-3D","SPARK","SPARK only","GPR139"
"GeoSVG-3D","SPARK","SPARK only","GPR34"
"GeoSVG-3D","SPARK","SPARK only","GPR50"
"GeoSVG-3D","SPARK","SPARK only","GPR88"
"GeoSVG-3D","SPARK","SPARK only","GPRASP2"
"GeoSVG-3D","SPARK","SPARK only","GPSM1"
"GeoSVG-3D","SPARK","SPARK only","GRIK3"
"GeoSVG-3D","SPARK","SPARK only","GRIN2C"
"GeoSVG-3D","SPARK","SPARK only","GRM1"
"GeoSVG-3D","SPARK","SPARK only","GRM2"
"GeoSVG-3D","SPARK","SPARK only","GRM4"
"GeoSVG-3D","SPARK","SPARK only","GRM5"
"GeoSVG-3D","SPARK","SPARK only","GRM7"
"GeoSVG-3D","SPARK","SPARK only","GRM8"
"GeoSVG-3D","SPARK","SPARK only","GRP"
"GeoSVG-3D","SPARK","SPARK only","H2-AB1"
"GeoSVG-3D","SPARK","SPARK only","HCRT"
"GeoSVG-3D","SPARK","SPARK only","HCRTR1"
"GeoSVG-3D","SPARK","SPARK only","HHIP"
"GeoSVG-3D","SPARK","SPARK only","HOPX"
"GeoSVG-3D","SPARK","SPARK only","HOXA7"
"GeoSVG-3D","SPARK","SPARK only","HOXB9"
"GeoSVG-3D","SPARK","SPARK only","HOXC4"
"GeoSVG-3D","SPARK","SPARK only","HOXC5"
"GeoSVG-3D","SPARK","SPARK only","HPCAL4"
"GeoSVG-3D","SPARK","SPARK only","HRH1"
"GeoSVG-3D","SPARK","SPARK only","HRH3"
"GeoSVG-3D","SPARK","SPARK only","HS6ST2"
"GeoSVG-3D","SPARK","SPARK only","HSPA1A"
"GeoSVG-3D","SPARK","SPARK only","HSPB7"
"GeoSVG-3D","SPARK","SPARK only","HTR1A"
"GeoSVG-3D","SPARK","SPARK only","HTR1B"
"GeoSVG-3D","SPARK","SPARK only","HTR1D"
"GeoSVG-3D","SPARK","SPARK only","HTR1F"
"GeoSVG-3D","SPARK","SPARK only","HTR2A"
"GeoSVG-3D","SPARK","SPARK only","HTR5B"
"GeoSVG-3D","SPARK","SPARK only","HTRA1"
"GeoSVG-3D","SPARK","SPARK only","ID2"
"GeoSVG-3D","SPARK","SPARK only","ID4"
"GeoSVG-3D","SPARK","SPARK only","IFITM1"
"GeoSVG-3D","SPARK","SPARK only","IGF2"
"GeoSVG-3D","SPARK","SPARK only","IGFBPL1"
"GeoSVG-3D","SPARK","SPARK only","IGSF1"
"GeoSVG-3D","SPARK","SPARK only","IL1RAPL2"
"GeoSVG-3D","SPARK","SPARK only","IL23A"
"GeoSVG-3D","SPARK","SPARK only","IL33"
"GeoSVG-3D","SPARK","SPARK only","IRS4"
"GeoSVG-3D","SPARK","SPARK only","IRX2"
"GeoSVG-3D","SPARK","SPARK only","IRX6"
"GeoSVG-3D","SPARK","SPARK only","ISL1"
"GeoSVG-3D","SPARK","SPARK only","ISL2"
"GeoSVG-3D","SPARK","SPARK only","KCNAB1"
"GeoSVG-3D","SPARK","SPARK only","KCNC2"
"GeoSVG-3D","SPARK","SPARK only","KCND3"
"GeoSVG-3D","SPARK","SPARK only","KCNJ8"
"GeoSVG-3D","SPARK","SPARK only","KCTD12"
"GeoSVG-3D","SPARK","SPARK only","KL"
"GeoSVG-3D","SPARK","SPARK only","KLHL14"
"GeoSVG-3D","SPARK","SPARK only","KLK6"
"GeoSVG-3D","SPARK","SPARK only","KRT17"
"GeoSVG-3D","SPARK","SPARK only","KRT19"
"GeoSVG-3D","SPARK","SPARK only","KRT73"
"GeoSVG-3D","SPARK","SPARK only","LBP"
"GeoSVG-3D","SPARK","SPARK only","LBX1"
